ADDRESS_DETAIL_PID,DATE_CREATED,ADDRESS_LABEL,ADDRESS_SITE_NAME,BUILDING_NAME,FLAT_TYPE,FLAT_NUMBER,LEVEL_TYPE,LEVEL_NUMBER,NUMBER_FIRST,NUMBER_LAST,LOT_NUMBER,STREET_NAME,STREET_TYPE,STREET_SUFFIX,LOCALITY_NAME,STATE,POSTCODE,LEGAL_PARCEL_ID,MB_CODE,ALIAS_PRINCIPAL,PRINCIPAL_PID,PRIMARY_SECONDARY,PRIMARY_PID,GEOCODE_TYPE,LONGITUDE,LATITUDE
GAOT_717319670,29-08-2023,"10D ARENGA CL, CHRISTMAS ISLAND OT 6798",,,,,,,10D,,,ARENGA,CLOSE,,CHRISTMAS ISLAND,OT,6798,P194782/531,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.68211738,-10.42154361
GAOT_717319675,29-08-2023,"2A ARENGA CL, CHRISTMAS ISLAND OT 6798",,,,,,,2A,,,ARENGA,CLOSE,,CHRISTMAS ISLAND,OT,6798,P194782/527,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.68066555,-10.42131352
GAOT_717319681,29-08-2023,"4C ARENGA CL, CHRISTMAS ISLAND OT 6798",,,,,,,4C,,,ARENGA,CLOSE,,CHRISTMAS ISLAND,OT,6798,P194782/528,90000112000,PRINCIPAL,,,,PROPERTY CENTROID,105.68102449,-10.4213698
GAOT_717319744,12-05-2020,"UNIT 2 112 GAZE RD, CHRISTMAS ISLAND OT 6798",,,UNIT,2,,,112,,,GAZE,ROAD,,CHRISTMAS ISLAND,OT,6798,P191380/336,90000114000,PRINCIPAL,,SECONDARY,GAOT_717321175,PROPERTY CENTROID,105.68037588,-10.41728742
GAOT_717319755,12-05-2020,"UNIT 3 26 GAZE RD, CHRISTMAS ISLAND OT 6798",,,UNIT,3,,,26,,,GAZE,ROAD,,CHRISTMAS ISLAND,OT,6798,D091781/1001,90000111000,PRINCIPAL,,SECONDARY,GAOT_717321187,PROPERTY CENTROID,105.67392967,-10.42054619
GAOT_717319758,12-05-2020,"UNIT 4 112 GAZE RD, CHRISTMAS ISLAND OT 6798",,,UNIT,4,,,112,,,GAZE,ROAD,,CHRISTMAS ISLAND,OT,6798,P191380/336,90000114000,PRINCIPAL,,SECONDARY,GAOT_717321175,PROPERTY CENTROID,105.68037588,-10.41728742
GAOT_717319783,10-11-2017,"UNIT 12 17 JALAN PANTAI, CHRISTMAS ISLAND OT 6798",,,UNIT,12,,,17,,,JALAN PANTAI,,,CHRISTMAS ISLAND,OT,6798,P218420/285,90000111000,PRINCIPAL,,SECONDARY,GAOT_717321278,PROPERTY CENTROID,105.67070353,-10.42932365
GAOT_717319784,11-11-2017,"BLOCK 410 UNIT 13 13 JALAN PANTAI, CHRISTMAS ISLAND OT 6798",,BLOCK 410,UNIT,13,,,13,,,JALAN PANTAI,,,CHRISTMAS ISLAND,OT,6798,P218420/289,90000111000,ALIAS,GAOT_717648365,SECONDARY,GAOT_717321276,PROPERTY CENTROID,105.67158004,-10.4283286
GAOT_717319786,11-11-2017,"BLOCK 410 UNIT 14 13 JALAN PANTAI, CHRISTMAS ISLAND OT 6798",,BLOCK 410,UNIT,14,,,13,,,JALAN PANTAI,,,CHRISTMAS ISLAND,OT,6798,P218420/289,90000111000,ALIAS,GAOT_717648366,SECONDARY,GAOT_717321276,PROPERTY CENTROID,105.67158004,-10.4283286
GAOT_717319803,11-11-2017,"BLOCK 410 UNIT 21 13 JALAN PANTAI, CHRISTMAS ISLAND OT 6798",,BLOCK 410,UNIT,21,,,13,,,JALAN PANTAI,,,CHRISTMAS ISLAND,OT,6798,P218420/289,90000111000,ALIAS,GAOT_717648373,SECONDARY,GAOT_717321276,PROPERTY CENTROID,105.67158004,-10.4283286
GAOT_717319805,11-11-2017,"BLOCK 410 UNIT 22 13 JALAN PANTAI, CHRISTMAS ISLAND OT 6798",,BLOCK 410,UNIT,22,,,13,,,JALAN PANTAI,,,CHRISTMAS ISLAND,OT,6798,P218420/289,90000111000,ALIAS,GAOT_717648374,SECONDARY,GAOT_717321276,PROPERTY CENTROID,105.67158004,-10.4283286
GAOT_717319814,11-11-2017,"BLOCK 410 UNIT 3 13 JALAN PANTAI, CHRISTMAS ISLAND OT 6798",BLOCK 410,BLOCK 410,UNIT,3,,,13,,,JALAN PANTAI,,,CHRISTMAS ISLAND,OT,6798,P218420/289,90000111000,PRINCIPAL,,SECONDARY,GAOT_717321276,PROPERTY CENTROID,105.67158004,-10.4283286
GAOT_717319820,11-11-2017,"BLOCK 410 UNIT 5 13 JALAN PANTAI, CHRISTMAS ISLAND OT 6798",BLOCK 410,BLOCK 410,UNIT,5,,,13,,,JALAN PANTAI,,,CHRISTMAS ISLAND,OT,6798,P218420/289,90000111000,PRINCIPAL,,SECONDARY,GAOT_717321276,PROPERTY CENTROID,105.67158004,-10.4283286
GAOT_717319825,10-11-2017,"UNIT 7 17 JALAN PANTAI, CHRISTMAS ISLAND OT 6798",,,UNIT,7,,,17,,,JALAN PANTAI,,,CHRISTMAS ISLAND,OT,6798,P218420/285,90000111000,PRINCIPAL,,SECONDARY,GAOT_717321278,PROPERTY CENTROID,105.67070353,-10.42932365
GAOT_717319829,10-11-2017,"UNIT 9 17 JALAN PANTAI, CHRISTMAS ISLAND OT 6798",,,UNIT,9,,,17,,,JALAN PANTAI,,,CHRISTMAS ISLAND,OT,6798,P218420/285,90000111000,PRINCIPAL,,SECONDARY,GAOT_717321278,PROPERTY CENTROID,105.67070353,-10.42932365
GAOT_717319836,13-02-2021,"LOT 421 KILN PL, CHRISTMAS ISLAND OT 6798",,,,,,,,,421,KILN,PLACE,,CHRISTMAS ISLAND,OT,6798,P219803/421,90000102000,PRINCIPAL,,,,PROPERTY CENTROID,105.66106153,-10.4483469
