,Unnamed: 0,SiteId,SiteRef,SiteOpenIssueId,IssueID,Issue Type,AMSAssetRef,IssueDescription,IssueCreated,RiskRating,WorkRequired,ResidualRisk,Status,Comments,S/P No,PDS I/P No,FixedDate,address_tower_id,AssetRef,RaisedBy,ResolutionComments,ResolvedbyProject,SiteName,TelstraAddressID,Asset Owner CompanyName,OpExEstimate,CapExEstimate,ReviewDate,DateLastUpdated,_LastEditDate,_CreatedDate,UserLastUpdated,ResourcesNeeded,CreatedbyProject,PMProjectRef,CorrosionRegionType,WindRegionType,StructureClassCode,Height,StructureInstallationDate,Latitude,Longitude,PaintingType,Land_Elevation,distance_km
0,17,54,NSW000054,246,NSW000054-10,Planned Maintenance,NSW000054_STR_1,Surface corrosion on Guy Adjustment Hardware.,2006-03-09,4C - TFP / PM3 - 18 Months,Remove Surface corrosion from guy adjustment hardware.Wire brush and treat with Zinc enriched paint.,1A - MON,FXD,Legacy Status: FXD,SP10008913 WO0001,21/07/2005 12:00:00 AM,2006-03-09,32156_1,STR_1,joe.sweeney@au.abb.com,,,HILLSTON RT,32156,AMPLITEL,,,,,,,,,,,B (Low),A,MAST GUYED,100.0,2003-12-11,-33.500835,145.54271,AVIATION,116.1928863525391,255.27453944953513
1,36,878,NSW000878,55771,NSW000878-9,Routine Maintenance,NSW000878_STR_1,Structure earths suffering mediun corrosion,2024-11-24,3B - PM4 - 5 Years,IRM_161024: Monitor condition of structure earths.,1B - MON,PM4,,,,,43624_1,STR_1,Shaun Omalley,,,DUNEDOO EXCHANGE,43624,AMPLITEL,,,2029-11-23,,,2024-11-24,,,,,B (Low),A,TOWER STEEL,30.0,2003-12-11,-32.01954,149.39507,NOT PAINTED,410.37548828125,232.66595133003423
2,37,878,NSW000878,46598,NSW000878-6,Routine Maintenance,NSW000878_STR_1,Earth strap below ground is heavily corroded and has corroded through,2022-12-16,3C - PM3 - 2 Years,Repair structure earth straps.  Found to be corroded through/broken at drone FY21.,1C - MON,PM3,,,,,43624_1,STR_1,Debby Kirkwood,,,DUNEDOO EXCHANGE,43624,AMPLITEL,,,2024-12-15,,,2022-12-16,,,,,B (Low),A,TOWER STEEL,30.0,2003-12-11,-32.01954,149.39507,NOT PAINTED,410.37548828125,232.66595133003423
3,38,878,NSW000878,46599,NSW000878-7,Routine Maintenance,NSW000878_STR_1,"Debris, soil and undergrowth covering structure footings",2022-12-16,3C - PM3 - 2 Years,"Clear off the structure footings and check the entry point of the steel into the foundation for any defect or corrosion.  (Bushes growing up & under the structure reported to FST MTCE on 6-10-22). Update: Issue still existing, requires clearing, FST notified again 30/10/2024.",1E - NSV,PM3,,,,,43624_1,STR_1,Debby Kirkwood,,,DUNEDOO EXCHANGE,43624,AMPLITEL,,,2024-12-15,Nov 18 2024  5:40PM,2024-11-18,2022-12-16,Shaun Omalley,,,,B (Low),A,TOWER STEEL,30.0,2003-12-11,-32.01954,149.39507,NOT PAINTED,410.37548828125,232.66595133003423
4,40,1788,NSW001788,55844,NSW001788-6,Planned Maintenance,NSW001788_STR_1,Base of all structure legs suffering surface corrosion due to Blue Metal from Optus Civil works being spread throughout Compound. It was found covering Mast Base - All Legs100-200mm,2024-12-04,2D - PM2 - 12 Months,"IRM_091124: Removed excess gravel from Mast base to expose foundation and effected legs. All legs suffering Surface Corrosion due to gravel and soil build up. Removed Surface corrosion with power tools and treated with Galmet. Recommend return visit to complete 122 paint coat procedure.Clean and remove all corrosion.  At the completion of the corrosion removal process all contaminants e.g. iron oxide dust, salts etc. must be washed [removed] from the prepared area prior to painting.Once refurbished and cleaned, apply procedures paint Coating Schedule 122",2B - MON,PM2,,,,,43578_1,STR_1,Shaun Omalley,,,COOLATAI EXCHANGE,43578,AMPLITEL,,,2025-12-04,Dec  4 2024  9:07PM,2024-12-04,2024-12-04,Shaun Omalley,,,,B (Low),A,MAST GUYED,80.0,2003-12-11,-29.2548,150.8213,NOT PAINTED,513.4654541015625,50.270685954470245
5,41,1791,NSW001791,12631,NSW001791-2,Planned Maintenance,NSW001791_STR_1,Light corrosion on footing bolts,2021-08-26,3B - PM4 - 5 Years,Repair (Fxd IRM 2021),1A - MON,FXD,Legacy Status: PM4,,,2021-10-28,44291_1,STR_1,Rhys.L.Yeomans@team.telstra.com,,,WILCANNIA NETALLIE MOB,44291,AMPLITEL,,,,Nov  7 2021  2:00PM,,,Gavin.Kirkwood@excelriggingservices.com.au,,,,B (Low),A,MAST GUYED,100.0,2003-12-11,-31.564348,143.2609,NOT PAINTED,126.9330902099609,214.55844814004456
6,42,1807,NSW001807,12740,NSW001807-11,Planned Maintenance,NSW001807_STR_1,"Surface corrosion on antenna brackets & bolts, wire brushed & painted with GALMAT zinc paint",2011-01-31,1E - NSV,PBR 30869585 Wire brush and treat corrosion on antenna brackets & bolts at next inspection.,1E - NSV,FXD,Legacy Status: NSV,SP14000011 WO0018,11/08/2011 12:00:00 AM,2011-10-26,31115_1,STR_1,IRM@excelriggingservices.com.au,,,MEREWETHER RESERVOIR,31115,AMPLITEL,,,,Mar 14 2012 10:54AM,,,jason.j.brown@team.telstra.com,,,,E (Very High),A,POLE STEEL,15.0,2003-12-11,-32.95195,151.74696,NOT PAINTED,99.09481811523438,0.35506282295698066
7,43,1807,NSW001807,12744,NSW001807-15,Planned Maintenance,NSW001807_STR_1,Structure suffering various degrees of corrosion,2014-08-26,3D - PM1 / SMB - 3-6 Months,"~Inspectors have not put all corrosion found into the corrosion report.  Various antenna mounts and bolts/nuts are suffering surface corrosion that has not been treated.  Heavy corrosion is in the corrosion report.  Record and treat all corrosion at next inspection.  TIM to review the corrosion report and photographs attached to this issue. ~AJ, Any antenna corrosion issues have been fixed, as the latest LTE build has replaced all the antennas.",3D - PM1 / SMB - 3-6 Months,FXD,Legacy Status: PM1,,,2015-04-23,31115_1,STR_1,IRM@excelriggingservices.com.au,,,MEREWETHER RESERVOIR,31115,AMPLITEL,,,,Apr 23 2015  8:59AM,,,Adam.K.Jaggard@team.telstra.com,,,,E (Very High),A,POLE STEEL,15.0,2003-12-11,-32.95195,151.74696,NOT PAINTED,99.09481811523438,0.35506282295698066
8,44,1807,NSW001807,40749,NSW001807-16,Planned Maintenance,NSW001807_STR_1,Medium to heavy corrosion present on earth straps below ground.,2022-05-29,3C - PM3 - 2 Years,Refurbish structure earth strap.  If integrity can&#39;t be maintained/heavy corrosion exists repair as per procedure 010623 (attach green & yellow earth cable).  Superceeded with new issue.,2C - PM4 - 5 Years,PM3,,,,2023-07-14,31115_1,STR_1,Debby Kirkwood,,,MEREWETHER RESERVOIR,31115,AMPLITEL,,,,Jul 14 2023 11:21AM,2023-07-14,2022-05-29,Debby Kirkwood,,,,E (Very High),A,POLE STEEL,15.0,2003-12-11,-32.95195,151.74696,NOT PAINTED,99.09481811523438,0.35506282295698066
9,45,1807,NSW001807,12743,NSW001807-14,Planned Maintenance,NSW001807_STR_1,Heavy corrosion present. All items inspected & all corrosion recorded,2014-08-26,3D - PM1 / SMB - 3-6 Months,~Towers Planning to review Structure Corrosion Report. ND site visit 24/4/15 identified heavily corroded bolts were replaced during latest LTE build 03/02/15. see photo: 31115_Antenna Feeders Sector1_ (25).JPG,3E - TFP / EM3 - 30 Days,FXD,Legacy Status: PM1,,,2015-04-24,31115_1,STR_1,IRM@excelriggingservices.com.au,,,MEREWETHER RESERVOIR,31115,AMPLITEL,,,,Apr 24 2015  9:06AM,,,Adam.K.Jaggard@team.telstra.com,,,,E (Very High),A,POLE STEEL,15.0,2003-12-11,-32.95195,151.74696,NOT PAINTED,99.09481811523438,0.35506282295698066
