AMSAssetRef,Latitude,Longitude,State,SnowIceRegion,CorrosionRegionType,StructureClassCode,Height,PaintingType,StructureLoadPercentage,InspectionFrequency
ACT002093_STR_1,-35.207718,149.11427,ACT,No,B (Low),Pole Concrete,20.0,Not Painted,91,8.0
ACT002244_STR_1,-35.17994,149.13367,ACT,No,B (Low),Pole Steel,20.0,Not Painted,77,7.0
ACT002305_STR_1,-35.14443,149.0905,ACT,No,B (Low),Pole Steel,15.0,Not Painted,90,10.0
ACT002337_STR_1,-35.34503,149.13486,ACT,No,B (Low),Pole Steel,22.0,Environment / Aesthetic,73,8.0
ACT002399_STR_1,-35.39245,149.17082,ACT,No,B (Low),Pole Steel,12.0,Not Painted,70,7.0
ACT002400_STR_1,-35.253635,149.08093,ACT,No,B (Low),Pole Steel,20.0,Not Painted,100,8.0
ACT002401_STR_1,-35.202439,149.025556,ACT,No,B (Low),Pole Steel,20.0,Not Painted,99,8.0
ACT002423_STR_1,-35.435802,149.12442,ACT,No,B (Low),Pole Steel,20.0,Not Painted,50,8.0
ACT002424_STR_1,-35.42086,149.10312,ACT,No,B (Low),Pole Steel,20.0,Not Painted,48,8.0
ACT002463_STR_1,-35.22653,149.1044,ACT,No,B (Low),Pole Steel,20.0,Not Painted,90,8.0
ACT002544_STR_1,-35.321075,149.115,ACT,No,B (Low),Pole Steel,12.0,Environment / Aesthetic,70,8.0
ACT002629_STR_1,-35.37016,149.0954,ACT,No,B (Low),Pole Steel,22.0,Not Painted,100,8.0
ACT002755_STR_1,-35.244583,149.06532,ACT,No,B (Low),Pole Concrete,15.0,Not Painted,100,7.0
ACT002814_STR_1,-35.303382499,149.030166709,ACT,No,B (Low),Pole Concrete,35.0,Environment / Aesthetic,52,7.0
ACT002815_STR_1,-35.33758,149.14955,ACT,No,B (Low),Pole Steel,20.0,Not Painted,68,7.0
ACT002817_STR_1,-35.177925,149.09749,ACT,No,B (Low),Pole Steel,25.0,Not Painted,100,8.0
ACT003195_STR_1,-35.459060533,149.089427552,ACT,No,B (Low),Pole Steel,22.3,Not Painted,60,8.0
ACT003464_STR_1,-35.184692,149.1555,ACT,No,B (Low),Pole Steel,13.5,Not Painted,37,5.0
ACT003845_STR_1,-35.32544,149.09695,ACT,No,B (Low),Pole Steel,30.0,Not Painted,76,7.0
ACT004047_STR_1,-35.23996,149.14899,ACT,No,B (Low),Pole Steel,25.0,Not Painted,32,7.0
ACT004128_STR_1,-35.297245,149.18636,ACT,No,B (Low),Pole Concrete,35.0,Not Painted,56,9.0
ACT006342_STR_1,-35.29805,149.15892,ACT,No,B (Low),Pole Steel,20.0,Not Painted,94,8.0
ACT006388_STR_1,-35.322239629,149.136633226,ACT,No,B (Low),Pole Concrete,12.1,Not Painted,100,6.0
ACT006388_STR_2,-35.32223,149.13682,ACT,No,B (Low),Pole Concrete,30.0,Not Painted,26,6.0
ACT006394_STR_1,-35.469105,149.08914,ACT,No,B (Low),Pole Steel,20.0,Not Painted,92,7.0
ACT006404_STR_1,-35.280514,149.11546,ACT,No,B (Low),Pole Steel,22.0,Not Painted,79,7.0
ACT006515_STR_1,-35.174835,149.07863,ACT,No,B (Low),Pole Concrete,25.0,Environment / Aesthetic,100,10.0
ACT006615_STR_1,-35.23721394,149.18240565,ACT,No,B (Low),Tower Timber,10.7,Not Painted,100,8.0
ACT006634_STR_1,-35.13294,150.70387,ACT,No,E (Very High),Mast Free Standing,18.9,Not Painted,61,3.0
ACT006636_STR_1,-35.241405,149.02615,ACT,No,B (Low),Pole Steel,25.0,Not Painted,82,9.0
ACT006882_STR_1,-35.24851,149.07277,ACT,No,B (Low),Pole Timber,15.0,Not Painted,90,5.0
ACT006886_STR_1,-35.275288,149.09782,ACT,No,B (Low),Building External,195.0,Not Painted,100,5.0
ACT006932_STR_1,-35.230278,149.14613,ACT,No,B (Low),Pole Steel,30.0,Not Painted,50,8.0
ACT007057_STR_1,-35.334595,149.1764,ACT,No,B (Low),Pole Steel,30.0,Not Painted,60,7.0
ACT007085_STR_1,-35.34328,149.0492,ACT,No,B (Low),Pole Concrete,25.0,Environment / Aesthetic,85,7.0
ACT007163_STR_1,-35.21966,149.13734,ACT,No,B (Low),Pole Steel,25.0,Not Painted,81,7.0
ACT008042_STR_1,-35.35105,149.09012,ACT,No,B (Low),Pole Steel,20.0,Not Painted,72,7.0
NSW000007_STR_1,-32.626040875,141.440989549,NSW,No,B (Low),Mast Guyed,80.0,Aviation,100,5.0
NSW000049_STR_1,-33.64884,150.86506,NSW,No,C (Medium),Pole Steel,30.0,Not Painted,99,8.0
NSW000054_STR_1,-33.500835,145.54271,NSW,No,B (Low),Mast Guyed,100.0,Aviation,100,5.0
NSW000055_STR_1,-29.98656,146.84723,NSW,No,B (Low),Mast Guyed,100.0,Aviation,100,5.0
NSW000068_STR_1,-31.957956,141.46497,NSW,No,B (Low),Tower Steel,45.7,Not Painted,100,6.0
NSW000811_STR_1,-32.047775,141.17055,NSW,No,B (Low),Tower Steel,45.72,Not Painted,54,9.0
NSW000878_STR_1,-32.01954,149.39507,NSW,No,B (Low),Tower Steel,30.0,Not Painted,68,6.0
NSW000879_STR_1,-31.822780969,149.719894631,NSW,No,B (Low),Tower Steel,22.86,Not Painted,55,6.0
NSW000882_STR_1,-36.4933,148.28786,NSW,Yes,A (Very Low),Tower Steel,7.48,Environment / Aesthetic,88,7.0
